PIs,POs,AND_Gates_Before,Levels_Before,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,ND,Edge,Area,Delay,Levels_After,Power
24,25,5416,225,resub -z,drw,resyn,resub -z,resyn3,drwsat2,share,rewrite,rewrite -z,resyn2a,choice2,strash,resub -z,rewrite,rewrite,rewrite -z,compress2,balance,resub -z,share,3295,8733,3295.0,81.0,81,3219.53
207,107,2198,30,share,compress2,share,compress,resyn2a,balance,share,dc2,rewrite,resyn3,drf,resyn3,rewrite,refactor -z,resyn2,compress,choice,strash,balance,drwsat2,800,1805,800.0,22.0,22,934.57
26,11,1592,31,compress,rwsat,compress2,refactor,drf,choice,strash,drwsat2,resyn,resyn2,drf,balance,choice,strash,drwsat2,refactor,rewrite,refactor -z,compress2,refactor,551,1505,551.0,10.0,10,700.42
24,25,5416,225,drw,share,share,choice2,strash,resub -z,compress,resyn2,dc2,dc2,refactor,balance,rwsat,balance,rewrite,choice2,strash,resyn,compress2,dc2,3309,8676,3309.0,81.0,81,3208.0
207,107,2198,30,dc2,choice,strash,resub -z,rewrite,drf,rewrite -z,resyn3,compress,drf,share,resyn3,resyn3,drwsat2,rwsat,resub,resyn,rwsat,resyn2,drf,803,1782,803.0,24.0,24,920.3
26,11,1592,31,rewrite -z,compress2,refactor -z,choice,strash,choice,strash,drwsat2,resub -z,choice,strash,refactor,rewrite,drw,resyn2,resub -z,refactor -z,choice,strash,compress2,535,1496,535.0,11.0,11,695.56
164,132,930,11,refactor -z,balance,drw,choice,strash,resyn2a,drw,resub -z,rewrite -z,compress2,rewrite,choice,strash,rewrite -z,compress,resyn2a,resub -z,resyn,rewrite -z,share,412,1100,412.0,6.0,6,500.2
24,25,5416,225,resyn2a,compress,resyn2a,dc2,resub,resub -z,share,choice,strash,drf,resub,compress,resub -z,dc2,rwsat,resub,balance,resub,drwsat2,rewrite -z,3450,9072,3450.0,80.0,80,3353.62
512,130,2865,287,resub -z,refactor,rwsat,dc2,resub,resyn2,refactor,balance,drwsat2,drw,dc2,share,rwsat,refactor -z,drwsat2,resub,rwsat,choice2,strash,rewrite,1817,4311,1817.0,110.0,110,2194.63
24,25,5416,225,rewrite -z,refactor,drwsat2,drwsat2,dc2,refactor -z,drw,balance,dc2,drw,resyn,rewrite,choice,strash,resyn,share,resub -z,resyn3,dc2,drwsat2,3445,9219,3445.0,79.0,79,3495.03
135,125,613,8,rwsat,share,drf,drf,rewrite -z,resub -z,drwsat2,drf,rewrite -z,balance,drwsat2,refactor,share,refactor -z,rewrite,resyn3,refactor -z,refactor,rwsat,rwsat,352,880,352.0,4.0,4,456.87
32,32,2337,120,share,refactor -z,balance,drwsat2,rwsat,dc2,rwsat,share,resub -z,refactor -z,balance,choice2,strash,refactor,compress,rewrite,drwsat2,share,compress,dc2,2241,5262,2241.0,50.0,50,2431.05
26,11,1592,31,resyn2a,compress2,resyn,resyn3,resub,rewrite -z,resyn2,dc2,rewrite,resub,balance,choice2,strash,balance,resyn,resub -z,drw,rwsat,resyn2,drf,528,1438,528.0,9.0,9,653.91
135,125,613,8,dc2,balance,resyn,resub -z,resyn,compress2,choice2,strash,drw,drf,drw,choice,strash,compress2,drw,compress2,resyn3,balance,rwsat,balance,343,867,343.0,5.0,5,465.7
164,132,930,11,drf,resyn2,rewrite,choice2,strash,share,drf,compress2,balance,resyn3,dc2,resyn3,balance,rwsat,share,drw,drwsat2,refactor -z,choice2,strash,414,1107,414.0,6.0,6,507.74
512,130,2865,287,rwsat,rwsat,rewrite -z,resyn2a,resyn3,resyn2,drw,resyn,drwsat2,resyn,resyn2,resub,share,drf,choice2,strash,resyn3,drf,resub,rewrite,2105,4612,2105.0,114.0,114,2353.78
164,132,930,11,dc2,choice2,strash,rewrite,rwsat,drwsat2,balance,drw,resyn2,balance,dc2,dc2,rwsat,rewrite,drwsat2,rewrite -z,resyn2a,drf,refactor -z,drwsat2,436,1147,436.0,7.0,7,558.68
164,132,930,11,rewrite -z,drf,resub,refactor,resub -z,rwsat,resub,drf,refactor -z,refactor -z,choice2,strash,resub -z,drw,share,resyn3,refactor,refactor,rewrite -z,drf,438,1139,438.0,6.0,6,522.47
512,130,2865,287,refactor,compress2,resyn,dc2,compress2,drf,share,compress2,resyn3,resub,resyn,resub,compress2,compress2,dc2,resub,resub,refactor -z,rewrite,resyn,2085,4624,2085.0,105.0,105,2362.1
164,132,930,11,dc2,resub -z,refactor,drw,choice,strash,drf,choice,strash,resyn,drf,refactor -z,resyn3,resyn2,compress2,resyn,compress,compress,resub -z,rewrite -z,453,1170,453.0,7.0,7,571.73
24,25,5416,225,balance,compress2,rwsat,resub,compress,resyn3,rwsat,resyn2a,balance,compress2,resyn,resyn2,rwsat,resub,share,balance,refactor,resub,rewrite -z,resyn,3366,8908,3366.0,80.0,80,3334.31
45,45,1577,14,drwsat2,rewrite,resyn2,resyn2a,resyn2,dc2,rewrite -z,rewrite,choice,strash,resyn2a,compress2,choice,strash,resyn,dc2,refactor -z,refactor,compress,rwsat,698,2071,698.0,8.0,8,542.12
512,130,2865,287,refactor -z,resyn2,resub -z,refactor -z,rewrite,resyn2,resub,resyn2a,balance,choice2,strash,resub -z,resyn2a,resyn,drwsat2,dc2,compress2,resyn,resyn3,drwsat2,2043,4549,2043.0,84.0,84,2321.39
32,32,2337,120,resyn2a,balance,drwsat2,resub,drwsat2,resub -z,resyn3,dc2,refactor -z,dc2,compress2,choice,strash,refactor -z,compress,refactor,rwsat,share,refactor -z,compress2,2400,5730,2400.0,48.0,48,2646.49
177,128,1169,14,resub -z,choice2,strash,rwsat,resyn2,compress,choice2,strash,choice2,strash,rewrite,refactor -z,refactor -z,resyn,resyn2,choice,strash,resyn,resyn2a,rewrite -z,605,1553,605.0,9.0,9,681.98
164,132,930,11,balance,rwsat,resub -z,choice,strash,refactor -z,drw,choice,strash,refactor -z,refactor,share,rewrite,share,refactor -z,rewrite -z,resub -z,rewrite -z,dc2,rwsat,425,1118,425.0,6.0,6,504.45
32,32,2337,120,rewrite,refactor -z,resyn,share,choice2,strash,drwsat2,drwsat2,resub,choice,strash,resyn2,resyn3,rwsat,choice,strash,resub,compress,resyn2,drw,1837,4085,1837.0,47.0,47,1912.8
135,125,613,8,resyn3,resyn2,choice2,strash,resyn2a,resyn,refactor -z,drf,dc2,drwsat2,rwsat,resub -z,resyn2,resyn3,refactor,resyn3,drwsat2,drf,rwsat,share,347,887,347.0,5.0,5,456.37
177,128,1169,14,resyn3,drf,refactor -z,resyn3,drw,drwsat2,choice,strash,resyn2,compress,rewrite,resyn,refactor,drwsat2,resub,resub -z,compress,compress2,drwsat2,resub -z,613,1560,613.0,8.0,8,683.26
32,32,2337,120,resub,choice2,strash,resub,resyn3,resyn2a,choice2,strash,rewrite -z,refactor,compress2,drwsat2,drw,choice,strash,rewrite,drw,rewrite -z,share,rwsat,2244,5273,2244.0,50.0,50,2464.63
177,128,1169,14,rewrite,choice,strash,rwsat,compress2,resub -z,resub -z,share,resub,refactor -z,choice,strash,resyn2,resyn2,compress,resub,resyn,resyn2a,resyn3,share,545,1457,545.0,8.0,8,624.41
24,25,5416,225,rewrite -z,drwsat2,drf,resyn,compress2,refactor -z,drwsat2,share,drwsat2,dc2,refactor,rewrite -z,share,refactor -z,resyn,rwsat,rwsat,drwsat2,rwsat,share,3356,8811,3356.0,79.0,79,3256.6
207,107,2198,30,compress,refactor,resyn3,compress2,compress2,choice,strash,resyn,rewrite,refactor -z,rewrite,refactor -z,rwsat,compress2,choice,strash,compress2,choice,strash,compress,884,1996,884.0,14.0,14,1002.88
512,130,2865,287,share,compress,share,choice2,strash,rewrite,drf,share,drw,resyn,resyn3,rwsat,balance,resyn,drw,share,rewrite -z,drw,rewrite,resyn3,1777,4263,1777.0,109.0,109,2177.43
45,45,1577,14,compress,choice,strash,resub -z,resyn2,share,refactor -z,resub,rewrite,choice2,strash,drw,choice,strash,resub -z,resyn2a,rwsat,refactor,resyn,drf,688,2109,688.0,7.0,7,582.76
32,32,2337,120,resyn2,balance,resyn2a,drwsat2,drf,drw,choice,strash,drw,resyn,refactor -z,resub,compress2,drw,choice,strash,drwsat2,refactor -z,dc2,resyn2a,1465,3063,1465.0,45.0,45,1455.52
512,130,2865,287,share,dc2,refactor,resyn2a,rwsat,resyn,resyn2,share,rewrite -z,compress,drwsat2,resub -z,compress,drw,drf,rewrite -z,balance,choice2,strash,drw,1925,4376,1925.0,122.0,122,2230.42
135,125,613,8,resyn3,dc2,resub,resyn2a,resyn2,resyn3,choice2,strash,refactor -z,resub -z,drwsat2,resyn3,dc2,rwsat,dc2,drwsat2,refactor,refactor,drw,drf,327,830,327.0,5.0,5,448.28
135,125,613,8,drf,refactor,resyn,compress2,refactor -z,resub -z,dc2,rewrite -z,refactor,refactor,resub,compress,resub -z,rewrite,choice,strash,drwsat2,drf,choice2,strash,344,865,344.0,4.0,4,465.65
32,32,2337,120,resyn3,resyn2a,compress,compress,rewrite -z,drw,resyn2,rewrite -z,compress2,resyn2,balance,rwsat,dc2,resyn2a,refactor,balance,choice2,strash,resyn2,resub,1476,3066,1476.0,45.0,45,1463.33
26,11,1592,31,refactor -z,refactor,resyn2,compress2,compress2,drwsat2,choice2,strash,resyn2,resyn2a,rewrite -z,balance,share,compress,drw,dc2,refactor -z,resub -z,drf,dc2,506,1396,506.0,9.0,9,620.19
32,32,2337,120,rewrite -z,choice2,strash,rewrite -z,choice,strash,rewrite,drf,resub,drf,choice2,strash,resyn2a,resyn2,compress,resyn,drwsat2,refactor -z,choice,strash,1484,3058,1484.0,45.0,45,1458.44
512,130,2865,287,rewrite -z,drf,rewrite -z,resyn3,refactor -z,drw,resyn,compress,compress,choice,strash,resyn,choice2,strash,resyn,choice,strash,drwsat2,resyn2a,resyn2a,2130,4704,2130.0,88.0,88,2394.34
512,130,2865,287,resyn2a,drf,compress,choice,strash,choice,strash,resyn3,rwsat,refactor,drw,choice2,strash,rewrite,dc2,resyn3,drf,refactor,resyn,dc2,2028,4574,2028.0,115.0,115,2322.81
45,45,1577,14,balance,resub -z,resyn3,resub,compress2,choice,strash,choice2,strash,resyn2a,drf,resub -z,choice,strash,choice,strash,refactor,resub,refactor -z,drf,744,2272,744.0,8.0,8,593.27
32,32,2337,120,resub,choice,strash,resub -z,compress2,drw,resub -z,compress,resub,choice2,strash,balance,compress2,compress,share,rwsat,refactor,resub,resyn2a,refactor -z,2234,5210,2234.0,49.0,49,2428.25
45,45,1577,14,refactor,resub -z,rewrite,refactor,balance,resub,share,drw,drwsat2,drwsat2,drw,refactor,refactor,resub,refactor,dc2,compress,rwsat,resyn3,drwsat2,697,2118,697.0,8.0,8,565.27
